Afrikaans|af
Albanais|sq
Amharique|am
Arabe|ar
Arménien|hy
Assamais|as
Azerbaïdjanais (Latin)|az
Bangla|bn
Bashkir|ba
Basque|eu
Bhojpouri|bho
Bodo|brx
Bosniaque (latin)|bs
Bulgare|bg
Cantonais (traditionnel)|yue
Catalan|ca
Chinois (littéraire)|lzh
Chinois (simplifié)|zh-Hans
Chinois traditionnel|zh-Hant
chiShona|sn
Croate|hr
Tchèque|cs
Danois|da
Dari|prs
Maldivien|dv
Dogri|doi
Néerlandais|nl
Anglais|en
Estonien|et
Féroïen|fo
Fidjien|fj
Filipino|fil
Finnois|fi
Français|fr
Français (Canada)|fr-ca
Galicien|gl
Géorgien|ka
Allemand|de
Grec|el
Goudjrati|gu
Créole haïtien|ht
Hausa|ha
Hébreu|he
Hindi|hi
Hmong daw (latin)|mww
Hongrois|hu
Islandais|is
Igbo|ig
Indonésien|id
Inuinnaqtun|ikt
Inuktitut|iu
Inuktitut (Latin)|iu-Latn
Irlandais|ga
Italien|it
Japonais|ja
Kannada|kn
Kashmiri|ks
Kazakh|kk
Khmer|km
Kinyarwanda|rw
Klingon|tlh-Latn
Klingon (plqaD)|tlh-Piqd
Konkani|gom
Coréen|ko
Kurde (central)|ku
Kurde (Nord)|kmr
Kirghiz (cyrillique)|ky
Lao|lo
Letton|lv
Lituanien|lt
Lingala|ln
Bas sorabe|dsb
Luganda|lug
Macédonien|mk
Maithili|mai
Malgache|mg
Malais (latin)|ms
Malayalam|ml
Maltais|mt
Maori|mi
Marathi|mr
Mongole (cyrillique)|mn-Cyrl
Mongol (traditionnel)|mn-Mong
Myanmar|my
Népalais|ne
Norwegian Bokmål|nb
Nyanja|nya
Odia|or
Pachto|ps
Persan|fa
Polonais|pl
Portugais (Brésil)|pt
Portugais (Portugal)|pt-pt
Pendjabi|pa
Queretaro Otomi|otq
Roumain|ro
Rundi|run
Russe|ru
Samoan (latin)|sm
Serbe (cyrillique)|sr-Cyrl
Serbe (latin)|sr-Latn
Sesotho|st
Sotho du Nord|nso
Setswana|tn
Sindhi|sd
Cingalais|si
Slovaque|sk
Slovène|sl
Somali (arabe)|so
Espagnol|es
Swahili (latin)|sw
Suédois|sv
Tahitien|ty
Tamoul|ta
Tatar (latin)|tt
Télougou|te
Thaï|th
Tibétain|bo
Tigrigna|ti
Tonga|to
Turc|tr
Turkmène (latin)|tk
Ukrainien|uk
Haut sorabe|hsb
Ourdou|ur
Ouïgour (arabe)|ug
Ouzbek (latin)|uz
Vietnamien|vi
Gallois|cy
Xhosa|xh
Yoruba|yo
Yucatec Maya|yua
Zoulou|zu
